EXERCISE,CALL_BID x CALL_ASK,CALL_VOLUMEN,CALL_INTERES_ABIERTO,CALL_DELTA,CALL_GAMMA,CALL_VEGA,CALL_THETA,PUT_BID x PUT_ASK,PUT_VOLUMEN,PUT_INTERES_ABIERTO,PUT_DELTA,PUT_GAMMA,PUT_VEGA,PUT_THETA
445,247.10 x 249.57,,6,1.000,0.000,0.001,-0.063,x 0.01,,6220,0.000,0.000,0.001,-0.005
450,242.10 x 243.37,,45,1.000,0.000,0.001,-0.064,x 0.01,,24800,0.000,0.000,0.001,-0.005
455,237.13 x 239.57,,17,1.000,0.000,0.001,-0.065,0.01 x 0.02,36,8280,0.000,0.000,0.001,-0.006
460,232.13 x 234.63,,12,1.000,0.000,0.002,-0.066,0.01 x 0.02,,6790,0.000,0.000,0.002,-0.006
465,227.13 x 229.63,,4,1.000,0.000,0.003,-0.067,0.01 x 0.02,,2650,0.000,0.000,0.003,-0.006
470,222.13 x 224.60,,30,1.000,0.000,0.003,-0.068,0.01 x 0.02,,7100,-0.001,0.000,0.003,-0.007
475,217.10 x 218.45,1,10,0.999,0.000,0.003,-0.069,0.01 x 0.02,,17600,-0.001,0.000,0.003,-0.008
480,212.16 x 213.45,,81,0.999,0.000,0.003,-0.070,0.01 x 0.02,,11600,-0.001,0.000,0.003,-0.008
485,208.27 x 208.39,,2300,0.999,0.000,0.003,-0.071,0.01 x 0.02,14,7460,-0.001,0.000,0.003,-0.008
490,203.28 x 203.40,,324,0.999,0.000,0.003,-0.072,0.01 x 0.02,,7880,-0.001,0.000,0.003,-0.009
495,198.28 x 198.40,,161,0.999,0.000,0.003,-0.073,0.01 x 0.02,,10800,-0.001,0.000,0.003,-0.009
500,193.28 x 193.41,33,1710,0.999,0.000,0.003,-0.073,0.01 x 0.02,33,35200,-0.001,0.000,0.003,-0.009
505,188.30 x 188.42,,235,0.999,0.000,0.003,-0.075,0.01 x 0.02,,9150,-0.001,0.000,0.003,-0.009
510,183.31 x 183.44,,1240,0.999,0.000,0.003,-0.076,0.01 x 0.02,21,7200,-0.001,0.000,0.003,-0.009
515,178.31 x 178.43,,1380,0.999,0.000,0.004,-0.077,0.01 x 0.02,22,7620,-0.001,0.000,0.004,-0.010
520,173.32 x 173.46,20,2700,0.999,0.000,0.005,-0.077,0.01 x 0.02,41,28100,-0.001,0.000,0.005,-0.009
525,168.32 x 168.45,,2800,0.999,0.000,0.005,-0.079,0.02 x 0.03,1080,28100,-0.001,0.000,0.005,-0.010
530,163.33 x 163.45,50,4330,0.999,0.000,0.005,-0.080,0.02 x 0.03,12,10700,-0.001,0.000,0.005,-0.011
535,158.34 x 158.46,,2960,0.999,0.000,0.005,-0.081,0.02 x 0.03,,8170,-0.001,0.000,0.005,-0.011
540,153.34 x 153.47,,3620,0.999,0.000,0.005,-0.083,0.02 x 0.03,3,92000,-0.001,0.000,0.005,-0.012
545,148.35 x 148.48,3,3140,0.999,0.000,0.005,-0.084,0.02 x 0.03,1,7680,-0.002,0.000,0.005,-0.013
550,143.36 x 143.48,10,12600,0.998,0.000,0.005,-0.085,0.02 x 0.03,43,28800,-0.002,0.000,0.005,-0.014
555,138.37 x 138.49,3,3230,0.998,0.000,0.007,-0.085,0.02 x 0.03,1080,18800,-0.002,0.000,0.007,-0.015
560,133.38 x 133.50,,2470,0.998,0.000,0.009,-0.085,0.03 x 0.04,1,24200,-0.002,0.000,0.009,-0.014
565,128.39 x 128.52,3,3430,0.998,0.000,0.009,-0.088,0.03 x 0.04,1140,19100,-0.002,0.000,0.009,-0.016
570,123.40 x 123.51,2,11100,0.998,0.000,0.009,-0.090,0.03 x 0.04,1120,15200,-0.002,0.000,0.009,-0.017
575,118.40 x 118.54,1,5000,0.997,0.000,0.010,-0.093,0.03 x 0.04,19,27000,-0.003,0.000,0.010,-0.018
580,113.41 x 113.53,22,6490,0.997,0.000,0.010,-0.095,0.04 x 0.05,34,23400,-0.003,0.000,0.010,-0.020
585,108.42 x 108.54,0,3190,0.997,0.000,0.011,-0.095,0.04 x 0.05,91,84800,-0.003,0.000,0.011,-0.021
590,103.43 x 103.55,13,3650,0.997,0.000,0.014,-0.097,0.04 x 0.05,41,22800,-0.004,0.000,0.014,-0.021
